2,Av Libertad 123,Montevideo,75000.0,85,2,1,true,Departamento luminoso con balcon,Maria Gonzalez
3,Calle 9 de Julio 456,Montevideo,120000.0,120,3,2,true,Casa con jardin y parrillero,Juan Perez
4,Pasaje Las Flores 21,Maldonado,200000.0,200,4,3,false,Residencia cerca de la playa,Ana Rodriguez
5,Boulevard Artigas 98,Colonia,95000.0,100,3,2,true,Casa antigua remodelada,Lucia Fernandez
6,Calle Principal 10,Paysandu,45000.0,60,1,1,true,Pequena propiedad ideal inversores,Carlos Ramirez
7,Avenida San Martin 250,Canelones,160000.0,150,4,2,true,Vivienda moderna con piscina,Sofia Morales
8,Ruta 3 Km 12,Salto,80000.0,90,2,2,false,Propiedad rural con terreno amplio,Diego Lopez
9,Calle del Sol 5,Rocha,135000.0,110,3,2,true,Excelente vista al mar,Valeria Suarez
10,Avenida Central 77,Montevideo,60000.0,70,2,1,true,Departamento cercano al centro,Martin Diaz
11,Calle Nueva 30,Rivera,99000.0,105,3,2,true,Ideal para familias,Laura Castillo
